episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-67.80788817544295,-211.2882081940417,-141.36850130304705,200.0,128,128,25600,25600,False,128,1,c6f3d53e0e34407cad23a3fe46575293,2025-10-06_09-49-33,1759765773,70.33733892440796,70.33733892440796,633903,inaoeser,192.168.100.124,70.33733892440796,0,1,"[-142.09734833326195, -172.33884546864397, -188.56804628790636, -163.85745360777574, -163.7391045730447, -93.72706208171951, -133.0469344053615, -172.27469433850092, -151.8494635016228, -188.2193498708013, -136.33334598390354, -138.76572303248992, -141.01510258402513, -181.91230244822628, -153.6068476384819, -177.69649457859697, -108.25071054306747, -121.18558147921962, -121.2665840953316, -79.76372421588269, -155.61494574246063, -140.21149983781098, -143.42137381683088, -170.0077546591352, -125.7970583104393, -124.29528168961917, -107.22193866780617, -127.5955221110815, -111.16552103893378, -110.03808419921431, -138.74113031339195, -134.93637889879597, -123.72529167650264, -113.32876912985704, -169.91307997923928, -160.59849550531084, -150.90595228925994, -171.3463392511922, -140.56568486265635, -132.30904453845807, -145.44447136948725, -144.47246932838735, -151.64393176348946, -115.78315275306608, -148.75075070633886, -164.90272216488927, -165.40817273605174, -166.98687844406524, -129.28683722285348, -108.91117297680215, -140.44344226309335, -160.18904375364363, -159.210726276822, -128.34160588088434, -120.11804527746492, -157.05561741632567, -117.64250258888339, -105.23321295727065, -128.23420378811275, -137.8289771010826, -137.78243255652905, -141.59209658004664, -185.04063093029077, -181.39174412810075, -143.38547811177884, -161.73815978150407, -167.25216149040233, -166.98370810390102, -96.4360604270225, -67.80788817544295, -152.79743239588748, -142.88294731951672, -211.2882081940417, -105.39247738432202, -114.07855404235299, -150.79548003216752, -124.5006310951774, -138.5474494310882, -145.19289274429238, -190.3435354741613, -120.29127617070256, -188.95378665925432, -149.75469294051913, -117.83480614300998, -194.98117119297677, -140.70396706401024, -110.78956809264587, -107.89520912554573, -159.51615754656132, -105.29551329209735, -153.56752551846932, -145.27537431182688, -121.65282751664738, -142.65983682636224, -170.6015933362065, -107.58811753648449, -99.07079061830733, -153.85133728041487, -124.5020230749962, -139.30572334732935, -120.3495056122105, -133.00740493423675, -169.5642900557827, -166.64816266417924, -157.0359682761374, -115.99639288554276, -143.12176945166965, -130.96822809616012, -136.26110214611157, -140.35652727728916, -134.96923692391724, -128.94927028174547, -131.0127650939032, -124.21805181303668, -142.0134927458188, -141.9754992174457, -147.3858456536482, -145.6934083594576, -162.25036865106742, -147.43468881103664, -154.78067594282578, -130.1713568744097, -153.54254973315267, -127.5026388595872, -130.7108917916261, -149.51803313214862, -139.78019036199004, -133.48678279661576]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",102.53272682836104,1.9589801184573576,0.1830550383276014,125.64484966891025,0.0,54565.989,469.157,15661.333,1634.599,13.223,25600,25600,25600,69.1118811881188,25.590099009901,0.20000000298023224,4.999999873689376e-05,28.260765,-0.015639925,28.273975,0.111185476,0.012134454,8.507028,0.0
-63.46247502002806,-228.76267126472408,-137.50745662060837,200.0,128,128,51200,51200,False,256,2,c6f3d53e0e34407cad23a3fe46575293,2025-10-06_09-50-22,1759765822,48.884865522384644,119.2222044467926,633903,inaoeser,192.168.100.124,119.2222044467926,0,2,"[-160.6684497460655, -168.97780095510348, -129.72123045389947, -99.31362849274984, -198.68088097651417, -140.85940807151604, -99.81994008880586, -170.99529800561749, -135.74241770795584, -150.2959683061248, -114.55185604601138, -129.5564572456782, -122.13455590155606, -160.56190029914976, -107.33411405690386, -142.9138952502978, -141.64135109084148, -168.32372236381912, -133.8191876386047, -94.55971422478373, -96.18864740605609, -94.19026623644845, -154.2735838654759, -129.92072764562775, -113.9363476118756, -140.66260784556832, -154.35506571832292, -134.1200982592398, -167.0793129999833, -148.83088464290188, -127.01175763908675, -153.75626490619635, -143.97566012477066, -119.3016542308268, -136.37890716917883, -133.10755774615419, -114.11118825303052, -148.57583506214232, -154.9613661393013, -139.47118919406313, -145.5117158026318, -134.7814249922278, -174.0343931208184, -119.97215391701448, -135.45743320824752, -118.586080341647, -164.08352268901135, -182.72305621368693, -156.8276152951326, -106.82484134463124, -95.1454281995271, -117.36720719278176, -130.2900095717073, -118.96795768214075, -175.89973581560108, -130.20105603231485, -228.76267126472408, -159.0486543726788, -173.21294674281702, -149.6643018014926, -151.94073257897537, -174.45819840091184, -116.82131797937195, -151.51573784809636, -109.1895276843686, -138.03006150604702, -180.44868845917205, -147.49809093916815, -119.07685389021282, -120.63793487905112, -120.59760532269793, -129.26167958107868, -134.48220328948045, -175.5506230609785, -117.6968520426877, -185.10977062772187, -147.17433269397117, -107.24178473182205, -155.9040460457164, -136.59741190222732, -137.07690204101738, -167.3550418479853, -133.46847425316014, -133.5717672244691, -104.04955122580986, -113.15688551948006, -150.20711608627704, -117.43399065013088, -101.47594097365234, -154.6220477432286, -143.39263104026233, -162.92885366627493, -106.75886924928123, -172.47886560515096, -116.8440515600079, -143.41257960097636, -127.4024421301477, -146.64857847942568, -147.23690870181912, -104.4023930966089, -143.19547655487244, -129.68844569943164, -67.46838805634351, -110.79894438093879, -63.46247502002806, -138.86765627183792, -148.78357211075078, -88.41596171379757, -210.79115683085993, -125.63863149720387, -113.87397958479418, -173.15205972342713, -172.78182791148927, -109.78137046126618, -137.45727126116273, -127.62464633927215, -124.46903436656507, -111.88545411921042, -168.45014917639986, -201.37363018869655, -131.98913943482796, -99.199182082481, -169.1342631215581, -149.53414731279736, -72.84380395463164, -91.65486105414627, -176.5998794392137, -146.83879039185732]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",104.66878904387393,1.8837060361283082,0.18142565081541676,70.50544275737315,0.0,43873.496,583.496,15625.09,1638.391,13.329,51200,51200,51200,55.35714285714286,26.515714285714278,0.20000000298023224,4.999999873689376e-05,31.045904,-0.016962044,31.059988,0.34113503,0.014394713,8.461475,0.0
-76.52107136950207,-182.04259451646155,-126.76090668750696,200.0,128,128,76800,76800,False,384,3,c6f3d53e0e34407cad23a3fe46575293,2025-10-06_09-51-11,1759765871,49.2726948261261,168.4948992729187,633903,inaoeser,192.168.100.124,168.4948992729187,0,3,"[-117.12874537829778, -140.83641662601636, -123.86002613882413, -82.69039026896114, -117.03265322659026, -116.87220707542441, -116.75087185834442, -133.7178022259313, -137.7261513350796, -155.84619462739653, -162.4380112716629, -96.34111720440852, -130.76346959004775, -180.51647028462304, -153.86594183819975, -108.66028523955427, -127.28752119806116, -113.22661520705121, -141.42468596019506, -136.77015995142804, -118.07519509056044, -81.41208341374173, -136.55298021150705, -129.14927664032592, -129.97946172628406, -145.36380550505194, -118.4731025554166, -127.05929159930398, -102.25081187500788, -118.09743602076938, -95.387473455636, -120.0991745525725, -146.7799789462356, -126.2351469911838, -114.14738315945408, -115.62689724411058, -94.79756915361574, -130.02418036115012, -106.15823895442408, -80.76603038852839, -126.49130705727659, -116.77010597191189, -104.2652243204711, -116.66943143249622, -151.6256600877284, -121.76669471552367, -134.27516336332863, -134.94626582084248, -118.94194107966088, -149.90242949952764, -100.69884583020121, -97.03139940334114, -76.52107136950207, -94.63791687222599, -181.31014276285433, -108.44773044340069, -158.8716340706792, -145.14340021389765, -125.05369925127972, -103.7166565590043, -107.26781734711804, -133.22995137852058, -108.50209391858961, -175.2151346513745, -136.86383835372774, -149.9590655649744, -137.19095289650016, -136.9055084157693, -147.84969384282746, -125.05185917306096, -144.0250348856893, -109.24231653770768, -121.83895007934524, -120.06258936662857, -150.8366811786189, -180.24325653596318, -129.16495464055956, -173.80082467184087, -122.22241883965266, -138.4897273240176, -151.84965635095455, -133.64524289687597, -114.14617967357223, -124.61020954624053, -112.49501371687607, -97.86519554863091, -110.52289175677998, -169.6793130711294, -121.07157392260041, -135.16147233304534, -108.7178084438944, -108.09351594533372, -127.57850864461528, -105.54890733235418, -113.98761264287619, -182.04259451646155, -87.30996163952551, -108.88340139405929, -113.42004117500755, -118.30131506619944, -101.81766535321097, -157.8715406719019, -99.2061422538373, -113.16170028356815, -154.37221733641996, -119.87356864445424, -134.385596831797, -143.02914982916445, -117.30725329726846, -157.75141420197855, -113.84856313355365, -96.65120975813615, -116.54885556939661, -117.9234281487701, -143.83858227750923, -156.8013987562258, -133.87512631254006, -134.25967005072198, -98.66706854228704, -176.40487458097328, -123.92247472316187, -108.35980799394989, -170.46612413620605, -122.85236457888354, -137.4321043834067, -133.06077546410611, -127.31144073918838, -124.22487845262455]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",105.23682904000489,1.8678977713608704,0.1824162311591642,52.03654268406295,0.0,40419.683,633.355,15633.12,1637.549,13.467,76800,76800,76800,54.85857142857144,26.59999999999999,0.20000000298023224,4.999999873689376e-05,34.321045,-0.019242719,34.33729,0.5701997,0.014976797,8.3639145,0.0
-73.49186729701815,-194.3644102602652,-123.97036384672334,200.0,128,128,102400,102400,False,512,4,c6f3d53e0e34407cad23a3fe46575293,2025-10-06_09-52-21,1759765941,69.25084495544434,237.74574422836304,633903,inaoeser,192.168.100.124,237.74574422836304,0,4,"[-124.73376885342637, -115.78407839059382, -156.6033985302056, -106.99775575138784, -94.83446566897943, -154.5430745121169, -122.45177231123982, -129.06816818092847, -107.15769311362402, -94.58565135674272, -126.63537490808862, -106.90423959030616, -92.15799060802188, -137.0810327439043, -97.64833084768308, -167.9708374917945, -123.3589865998207, -128.87493242633627, -154.08492734456385, -131.55098589697747, -135.09025688978807, -127.39437993940508, -112.50025212886693, -136.92394186516103, -144.1035361402177, -115.67610582509705, -120.8550883387448, -136.28774192730484, -127.8589784740027, -151.16941195572633, -131.1351305517567, -80.61659710147158, -101.56397407238227, -90.63337008008412, -113.30988105777897, -90.19092859758155, -101.50133664173885, -129.8753923493238, -73.49186729701815, -133.13880584506694, -123.87665521718492, -93.73896133021965, -111.30715380008864, -140.41230898856824, -103.01598133605134, -125.87346765829916, -137.1139386436698, -154.7517653063438, -99.85267784092844, -118.05961267624494, -189.2656917337686, -134.68233033421805, -177.9925808366158, -128.6183093474188, -113.39062035169664, -152.69865364039518, -122.12536444939249, -109.64060165093267, -121.87602332350534, -127.07708155283999, -118.96698973619608, -125.9066818453399, -109.59461911600141, -111.47904151842161, -111.8326244902512, -110.60323425031248, -132.95669744533234, -128.22052885856354, -144.68375068594617, -146.17502740423862, -164.44420430818872, -120.6878455394547, -152.98491466676154, -139.86121358019165, -194.3644102602652, -121.21405316897673, -114.00004930099772, -103.60780768194076, -133.60379690837607, -119.853784822645, -115.01505167900027, -85.00910354736081, -117.2545813581706, -124.76658719785519, -176.84262422833888, -87.91457731749657, -96.17625581578879, -128.76802034144296, -115.43124278329452, -107.07756788007649, -110.21841395068364, -134.73765778941512, -130.25072954590544, -125.073062365402, -120.8402691055592, -113.33695549218031, -130.2708968070873, -134.9841762377901, -158.73034709529568, -80.40527314498296, -133.04783029278408, -128.40466388186724, -103.72948938388718, -123.53531471419086, -128.48577853902333, -139.75096747627327, -137.66147219225155, -123.72567739510144, -127.74919062968262, -92.22240475345444, -135.32821169121638, -120.11328108986604, -103.5776906218932, -116.96803623540404, -113.84136247680908, -128.84608985938564, -102.84133579612157, -111.28749581816074, -144.8954576094866, -124.08187371272903, -127.98167393394142, -119.37863639039215, -111.90703083461356, -144.4666943028025, -104.5721522558022, -166.9965811134009, -127.21077915457995, -115.74050873029667]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",105.89344403503017,1.8571205762739336,0.18270828350727328,42.706067654096074,0.0,39304.335,651.328,19926.908,1284.695,21.308,102400,102400,102400,88.90101010101009,37.37373737373738,0.20000000298023224,4.999999873689376e-05,35.21728,-0.01962333,35.23382,0.6895447,0.015402257,8.332897,0.0
