episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_td_error,info/learner/default_policy/actor_loss,info/learner/default_policy/critic_loss,info/learner/default_policy/alpha_loss,info/learner/default_policy/alpha_value,info/learner/default_policy/target_entropy,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q
nan,nan,nan,nan,0,128,20480,20480,False,0,11,f9f8d7f837d64cafb36ce2799f963b3e,2025-12-03_13-15-54,1764789354,1.1765635013580322,42.65821194648743,1825251,inaoeser,192.168.100.124,42.65821194648743,0,11,[],[],3.568,71749.726,15.438,20480,20480,39168,39168,20480,153,34.8,26.2,0.3981937,-7.8487635,0.18268871,-0.46181816,0.95539886,-6,3.971037,4.8051925,3.3030343
nan,nan,nan,nan,0,128,22016,22016,False,0,12,f9f8d7f837d64cafb36ce2799f963b3e,2025-12-03_13-15-55,1764789355,1.0290563106536865,43.68726825714111,1825251,inaoeser,192.168.100.124,43.68726825714111,0,12,[],[],3.544,72235.8,14.489,22016,22016,42240,42240,22016,165,31.9,26.2,0.39759547,-7.897025,0.18001807,-0.49745846,0.9519637,-6,4.060911,4.6686378,3.4124873
nan,nan,nan,nan,0,128,24064,24064,False,0,13,f9f8d7f837d64cafb36ce2799f963b3e,2025-12-03_13-15-56,1764789356,1.1632311344146729,44.850499391555786,1825251,inaoeser,192.168.100.124,44.850499391555786,0,13,[],[],3.387,75585.281,14.128,24064,24064,46336,46336,24064,181,32.1,26.2,0.35035327,-8.003357,0.1362542,-0.54541534,0.94740236,-6,4.188204,4.864713,3.5655103
-67.3165847973067,-197.0183919083881,-134.334020917125,200.0,128,128,25600,25600,False,128,14,f9f8d7f837d64cafb36ce2799f963b3e,2025-12-03_13-16-28,1764789388,31.67912244796753,76.52962183952332,1825251,inaoeser,192.168.100.124,76.52962183952332,0,14,"[-146.7281291608464, -158.8762650295531, -174.0943309549157, -160.53130415900984, -140.33980097580118, -104.80548941697376, -108.89850639932008, -172.26411654685293, -148.7256256584871, -179.537461111073, -139.0419611028814, -140.07110027360534, -126.21915327976349, -160.5028267340328, -150.84621674115004, -176.26105335281326, -87.41528120501607, -120.9886771532272, -131.26404542851233, -69.1135567444748, -153.9690548726743, -117.93258662057275, -119.81697416802531, -164.62716418288792, -121.43392471719787, -104.71153771628506, -114.92038456457063, -112.82542439387186, -116.0139307125881, -112.75106693294195, -114.3715583864319, -129.07612146941236, -127.01031599299088, -88.25978147928632, -158.12237548362302, -144.4344669590107, -150.63173934904015, -174.81490915669985, -138.9634579805881, -145.35928630467058, -114.02520012258306, -123.43702634255847, -145.64897861493807, -112.27891148626867, -127.02803130232044, -167.4900577730671, -155.80718170071867, -149.29161085473032, -123.89373994563195, -105.3427000881226, -146.76011377033518, -159.7452688148934, -124.40294455851279, -125.3230664720528, -120.18400084306668, -153.1130881315753, -118.76266482719942, -104.22782411620044, -130.18362648567307, -127.42052344590047, -141.98682831398457, -131.59833932653385, -173.63462533019833, -169.21796606531532, -125.78010339008169, -161.3008060044399, -160.53240803588466, -153.36394533478855, -102.46574132187682, -67.3165847973067, -140.30913660632336, -136.59455632358163, -197.0183919083881, -106.85544236799855, -106.22582491105743, -126.32796244846813, -119.92686413558243, -149.1511186783696, -144.84859816464402, -180.74834543343195, -116.47290184167531, -181.45613782580986, -142.4330748140982, -100.68328798741655, -180.10301138580095, -138.7981044319035, -88.01794829679326, -101.02214685469832, -147.71136854312587, -106.15681703513235, -143.67229736922832, -133.28272715635117, -118.75339726858523, -131.95188316255772, -171.19508374056934, -115.41357205054257, -98.09416050771007, -141.82762320475516, -125.54189003593315, -135.69112946700264, -123.62545252244087, -135.7449252079486, -164.5990790442362, -145.4566998480807, -149.56937275810841, -120.37906712098011, -142.0659785871085, -132.73734834356043, -135.7701067846908, -132.27856055279693, -127.97730383825231, -120.1324660480379, -112.67527551797546, -117.89938582572427, -138.8407074796625, -134.0967937737415, -136.5617445420224, -130.97768554049946, -150.77181141776614, -122.099397836775, -156.21248956371457, -130.52362327796325, -148.30373216896814, -125.32638506390734, -112.3419272940462, -143.69840327305064, -127.28999442190505, -122.379285292062]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",3.604,71027.824,15.117,25600,25600,49408,49408,25600,193,71.34565217391304,27.584782608695658,0.42603657,-8.062739,0.21618302,-0.5812192,0.9439989,-6,4.2719927,4.9895406,3.6336188
-67.3165847973067,-197.0183919083881,-133.87992724727604,200.0,0,128,27648,27648,False,128,15,f9f8d7f837d64cafb36ce2799f963b3e,2025-12-03_13-16-29,1764789389,1.2339897155761719,77.76361155509949,1825251,inaoeser,192.168.100.124,77.76361155509949,0,15,"[-116.0139307125881, -112.75106693294195, -114.3715583864319, -129.07612146941236, -127.01031599299088, -88.25978147928632, -158.12237548362302, -144.4344669590107, -150.63173934904015, -174.81490915669985, -138.9634579805881, -145.35928630467058, -114.02520012258306, -123.43702634255847, -145.64897861493807, -112.27891148626867, -127.02803130232044, -167.4900577730671, -155.80718170071867, -149.29161085473032, -123.89373994563195, -105.3427000881226, -146.76011377033518, -159.7452688148934, -124.40294455851279, -125.3230664720528, -120.18400084306668, -153.1130881315753, -118.76266482719942, -104.22782411620044, -130.18362648567307, -127.42052344590047, -141.98682831398457, -131.59833932653385, -173.63462533019833, -169.21796606531532, -125.78010339008169, -161.3008060044399, -160.53240803588466, -153.36394533478855, -102.46574132187682, -67.3165847973067, -140.30913660632336, -136.59455632358163, -197.0183919083881, -106.85544236799855, -106.22582491105743, -126.32796244846813, -119.92686413558243, -149.1511186783696, -144.84859816464402, -180.74834543343195, -116.47290184167531, -181.45613782580986, -142.4330748140982, -100.68328798741655, -180.10301138580095, -138.7981044319035, -88.01794829679326, -101.02214685469832, -147.71136854312587, -106.15681703513235, -143.67229736922832, -133.28272715635117, -118.75339726858523, -131.95188316255772, -171.19508374056934, -115.41357205054257, -98.09416050771007, -141.82762320475516, -125.54189003593315, -135.69112946700264, -123.62545252244087, -135.7449252079486, -164.5990790442362, -145.4566998480807, -149.56937275810841, -120.37906712098011, -142.0659785871085, -132.73734834356043, -135.7701067846908, -132.27856055279693, -127.97730383825231, -120.1324660480379, -112.67527551797546, -117.89938582572427, -138.8407074796625, -134.0967937737415, -136.5617445420224, -130.97768554049946, -150.77181141776614, -122.099397836775, -156.21248956371457, -130.52362327796325, -148.30373216896814, -125.32638506390734, -112.3419272940462, -143.69840327305064, -127.28999442190505, -122.379285292062]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",3.488,73398.671,15.78,27648,27648,53504,53504,27648,209,35.8,27.7,0.5294825,-8.193256,0.29672098,-0.6292548,0.9394794,-6,4.429784,5.2417283,3.8363183
-67.3165847973067,-197.0183919083881,-133.87992724727604,200.0,0,128,29184,29184,False,128,16,f9f8d7f837d64cafb36ce2799f963b3e,2025-12-03_13-16-30,1764789390,1.066995620727539,78.83060717582703,1825251,inaoeser,192.168.100.124,78.83060717582703,0,16,"[-116.0139307125881, -112.75106693294195, -114.3715583864319, -129.07612146941236, -127.01031599299088, -88.25978147928632, -158.12237548362302, -144.4344669590107, -150.63173934904015, -174.81490915669985, -138.9634579805881, -145.35928630467058, -114.02520012258306, -123.43702634255847, -145.64897861493807, -112.27891148626867, -127.02803130232044, -167.4900577730671, -155.80718170071867, -149.29161085473032, -123.89373994563195, -105.3427000881226, -146.76011377033518, -159.7452688148934, -124.40294455851279, -125.3230664720528, -120.18400084306668, -153.1130881315753, -118.76266482719942, -104.22782411620044, -130.18362648567307, -127.42052344590047, -141.98682831398457, -131.59833932653385, -173.63462533019833, -169.21796606531532, -125.78010339008169, -161.3008060044399, -160.53240803588466, -153.36394533478855, -102.46574132187682, -67.3165847973067, -140.30913660632336, -136.59455632358163, -197.0183919083881, -106.85544236799855, -106.22582491105743, -126.32796244846813, -119.92686413558243, -149.1511186783696, -144.84859816464402, -180.74834543343195, -116.47290184167531, -181.45613782580986, -142.4330748140982, -100.68328798741655, -180.10301138580095, -138.7981044319035, -88.01794829679326, -101.02214685469832, -147.71136854312587, -106.15681703513235, -143.67229736922832, -133.28272715635117, -118.75339726858523, -131.95188316255772, -171.19508374056934, -115.41357205054257, -98.09416050771007, -141.82762320475516, -125.54189003593315, -135.69112946700264, -123.62545252244087, -135.7449252079486, -164.5990790442362, -145.4566998480807, -149.56937275810841, -120.37906712098011, -142.0659785871085, -132.73734834356043, -135.7701067846908, -132.27856055279693, -127.97730383825231, -120.1324660480379, -112.67527551797546, -117.89938582572427, -138.8407074796625, -134.0967937737415, -136.5617445420224, -130.97768554049946, -150.77181141776614, -122.099397836775, -156.21248956371457, -130.52362327796325, -148.30373216896814, -125.32638506390734, -112.3419272940462, -143.69840327305064, -127.28999442190505, -122.379285292062]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",3.464,73899.793,15.23,29184,29184,56576,56576,29184,221,33.25,27.7,0.43533754,-8.306048,0.20672089,-0.6675812,0.9361041,-6,4.514316,5.197934,3.8063688
-67.3165847973067,-197.0183919083881,-133.87992724727604,200.0,0,128,31232,31232,False,128,17,f9f8d7f837d64cafb36ce2799f963b3e,2025-12-03_13-16-32,1764789392,1.2160367965698242,80.04664397239685,1825251,inaoeser,192.168.100.124,80.04664397239685,0,17,"[-116.0139307125881, -112.75106693294195, -114.3715583864319, -129.07612146941236, -127.01031599299088, -88.25978147928632, -158.12237548362302, -144.4344669590107, -150.63173934904015, -174.81490915669985, -138.9634579805881, -145.35928630467058, -114.02520012258306, -123.43702634255847, -145.64897861493807, -112.27891148626867, -127.02803130232044, -167.4900577730671, -155.80718170071867, -149.29161085473032, -123.89373994563195, -105.3427000881226, -146.76011377033518, -159.7452688148934, -124.40294455851279, -125.3230664720528, -120.18400084306668, -153.1130881315753, -118.76266482719942, -104.22782411620044, -130.18362648567307, -127.42052344590047, -141.98682831398457, -131.59833932653385, -173.63462533019833, -169.21796606531532, -125.78010339008169, -161.3008060044399, -160.53240803588466, -153.36394533478855, -102.46574132187682, -67.3165847973067, -140.30913660632336, -136.59455632358163, -197.0183919083881, -106.85544236799855, -106.22582491105743, -126.32796244846813, -119.92686413558243, -149.1511186783696, -144.84859816464402, -180.74834543343195, -116.47290184167531, -181.45613782580986, -142.4330748140982, -100.68328798741655, -180.10301138580095, -138.7981044319035, -88.01794829679326, -101.02214685469832, -147.71136854312587, -106.15681703513235, -143.67229736922832, -133.28272715635117, -118.75339726858523, -131.95188316255772, -171.19508374056934, -115.41357205054257, -98.09416050771007, -141.82762320475516, -125.54189003593315, -135.69112946700264, -123.62545252244087, -135.7449252079486, -164.5990790442362, -145.4566998480807, -149.56937275810841, -120.37906712098011, -142.0659785871085, -132.73734834356043, -135.7701067846908, -132.27856055279693, -127.97730383825231, -120.1324660480379, -112.67527551797546, -117.89938582572427, -138.8407074796625, -134.0967937737415, -136.5617445420224, -130.97768554049946, -150.77181141776614, -122.099397836775, -156.21248956371457, -130.52362327796325, -148.30373216896814, -125.32638506390734, -112.3419272940462, -143.69840327305064, -127.28999442190505, -122.379285292062]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",3.598,71147.366,15.006,31232,31232,60672,60672,31232,237,34.9,27.7,0.45900878,-8.42227,0.2509619,-0.71682096,0.93162215,-6,4.6456447,5.2681503,3.970448
-67.3165847973067,-197.0183919083881,-133.87992724727604,200.0,0,128,33280,33280,False,128,18,f9f8d7f837d64cafb36ce2799f963b3e,2025-12-03_13-16-33,1764789393,1.2168145179748535,81.2634584903717,1825251,inaoeser,192.168.100.124,81.2634584903717,0,18,"[-116.0139307125881, -112.75106693294195, -114.3715583864319, -129.07612146941236, -127.01031599299088, -88.25978147928632, -158.12237548362302, -144.4344669590107, -150.63173934904015, -174.81490915669985, -138.9634579805881, -145.35928630467058, -114.02520012258306, -123.43702634255847, -145.64897861493807, -112.27891148626867, -127.02803130232044, -167.4900577730671, -155.80718170071867, -149.29161085473032, -123.89373994563195, -105.3427000881226, -146.76011377033518, -159.7452688148934, -124.40294455851279, -125.3230664720528, -120.18400084306668, -153.1130881315753, -118.76266482719942, -104.22782411620044, -130.18362648567307, -127.42052344590047, -141.98682831398457, -131.59833932653385, -173.63462533019833, -169.21796606531532, -125.78010339008169, -161.3008060044399, -160.53240803588466, -153.36394533478855, -102.46574132187682, -67.3165847973067, -140.30913660632336, -136.59455632358163, -197.0183919083881, -106.85544236799855, -106.22582491105743, -126.32796244846813, -119.92686413558243, -149.1511186783696, -144.84859816464402, -180.74834543343195, -116.47290184167531, -181.45613782580986, -142.4330748140982, -100.68328798741655, -180.10301138580095, -138.7981044319035, -88.01794829679326, -101.02214685469832, -147.71136854312587, -106.15681703513235, -143.67229736922832, -133.28272715635117, -118.75339726858523, -131.95188316255772, -171.19508374056934, -115.41357205054257, -98.09416050771007, -141.82762320475516, -125.54189003593315, -135.69112946700264, -123.62545252244087, -135.7449252079486, -164.5990790442362, -145.4566998480807, -149.56937275810841, -120.37906712098011, -142.0659785871085, -132.73734834356043, -135.7701067846908, -132.27856055279693, -127.97730383825231, -120.1324660480379, -112.67527551797546, -117.89938582572427, -138.8407074796625, -134.0967937737415, -136.5617445420224, -130.97768554049946, -150.77181141776614, -122.099397836775, -156.21248956371457, -130.52362327796325, -148.30373216896814, -125.32638506390734, -112.3419272940462, -143.69840327305064, -127.28999442190505, -122.379285292062]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",3.528,72564.832,15.157,33280,33280,64768,64768,33280,253,35.5,27.7,0.42487866,-8.518839,0.21029146,-0.7651266,0.92716056,-6,4.759673,5.5046678,4.111043
-67.3165847973067,-197.0183919083881,-133.87992724727604,200.0,0,128,35328,35328,False,128,19,f9f8d7f837d64cafb36ce2799f963b3e,2025-12-03_13-16-34,1764789394,1.2044482231140137,82.46790671348572,1825251,inaoeser,192.168.100.124,82.46790671348572,0,19,"[-116.0139307125881, -112.75106693294195, -114.3715583864319, -129.07612146941236, -127.01031599299088, -88.25978147928632, -158.12237548362302, -144.4344669590107, -150.63173934904015, -174.81490915669985, -138.9634579805881, -145.35928630467058, -114.02520012258306, -123.43702634255847, -145.64897861493807, -112.27891148626867, -127.02803130232044, -167.4900577730671, -155.80718170071867, -149.29161085473032, -123.89373994563195, -105.3427000881226, -146.76011377033518, -159.7452688148934, -124.40294455851279, -125.3230664720528, -120.18400084306668, -153.1130881315753, -118.76266482719942, -104.22782411620044, -130.18362648567307, -127.42052344590047, -141.98682831398457, -131.59833932653385, -173.63462533019833, -169.21796606531532, -125.78010339008169, -161.3008060044399, -160.53240803588466, -153.36394533478855, -102.46574132187682, -67.3165847973067, -140.30913660632336, -136.59455632358163, -197.0183919083881, -106.85544236799855, -106.22582491105743, -126.32796244846813, -119.92686413558243, -149.1511186783696, -144.84859816464402, -180.74834543343195, -116.47290184167531, -181.45613782580986, -142.4330748140982, -100.68328798741655, -180.10301138580095, -138.7981044319035, -88.01794829679326, -101.02214685469832, -147.71136854312587, -106.15681703513235, -143.67229736922832, -133.28272715635117, -118.75339726858523, -131.95188316255772, -171.19508374056934, -115.41357205054257, -98.09416050771007, -141.82762320475516, -125.54189003593315, -135.69112946700264, -123.62545252244087, -135.7449252079486, -164.5990790442362, -145.4566998480807, -149.56937275810841, -120.37906712098011, -142.0659785871085, -132.73734834356043, -135.7701067846908, -132.27856055279693, -127.97730383825231, -120.1324660480379, -112.67527551797546, -117.89938582572427, -138.8407074796625, -134.0967937737415, -136.5617445420224, -130.97768554049946, -150.77181141776614, -122.099397836775, -156.21248956371457, -130.52362327796325, -148.30373216896814, -125.32638506390734, -112.3419272940462, -143.69840327305064, -127.28999442190505, -122.379285292062]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",3.621,70702.309,15.03,35328,35328,68864,68864,35328,269,35.3,27.7,0.39360803,-8.643419,0.18130685,-0.81197655,0.9227197,-6,4.929758,5.657605,4.241996
-67.3165847973067,-197.0183919083881,-133.87992724727604,200.0,0,128,37376,37376,False,128,20,f9f8d7f837d64cafb36ce2799f963b3e,2025-12-03_13-16-35,1764789395,1.206967830657959,83.67487454414368,1825251,inaoeser,192.168.100.124,83.67487454414368,0,20,"[-116.0139307125881, -112.75106693294195, -114.3715583864319, -129.07612146941236, -127.01031599299088, -88.25978147928632, -158.12237548362302, -144.4344669590107, -150.63173934904015, -174.81490915669985, -138.9634579805881, -145.35928630467058, -114.02520012258306, -123.43702634255847, -145.64897861493807, -112.27891148626867, -127.02803130232044, -167.4900577730671, -155.80718170071867, -149.29161085473032, -123.89373994563195, -105.3427000881226, -146.76011377033518, -159.7452688148934, -124.40294455851279, -125.3230664720528, -120.18400084306668, -153.1130881315753, -118.76266482719942, -104.22782411620044, -130.18362648567307, -127.42052344590047, -141.98682831398457, -131.59833932653385, -173.63462533019833, -169.21796606531532, -125.78010339008169, -161.3008060044399, -160.53240803588466, -153.36394533478855, -102.46574132187682, -67.3165847973067, -140.30913660632336, -136.59455632358163, -197.0183919083881, -106.85544236799855, -106.22582491105743, -126.32796244846813, -119.92686413558243, -149.1511186783696, -144.84859816464402, -180.74834543343195, -116.47290184167531, -181.45613782580986, -142.4330748140982, -100.68328798741655, -180.10301138580095, -138.7981044319035, -88.01794829679326, -101.02214685469832, -147.71136854312587, -106.15681703513235, -143.67229736922832, -133.28272715635117, -118.75339726858523, -131.95188316255772, -171.19508374056934, -115.41357205054257, -98.09416050771007, -141.82762320475516, -125.54189003593315, -135.69112946700264, -123.62545252244087, -135.7449252079486, -164.5990790442362, -145.4566998480807, -149.56937275810841, -120.37906712098011, -142.0659785871085, -132.73734834356043, -135.7701067846908, -132.27856055279693, -127.97730383825231, -120.1324660480379, -112.67527551797546, -117.89938582572427, -138.8407074796625, -134.0967937737415, -136.5617445420224, -130.97768554049946, -150.77181141776614, -122.099397836775, -156.21248956371457, -130.52362327796325, -148.30373216896814, -125.32638506390734, -112.3419272940462, -143.69840327305064, -127.28999442190505, -122.379285292062]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",3.787,67596.403,14.782,37376,37376,72960,72960,37376,285,33.95,27.75,0.37588587,-8.738934,0.16371924,-0.8574461,0.9182998,-6,5.0592117,6.044953,4.345267
